Id,Occurrences
French: Burn,1
French: Classical,1
"French: Classical, Burn, Main Line",1
French: Winawer,3
"French: Winawer, Alekhine-Maróczy Gambit",1
"French: Winawer, Advance",1
"French: Winawer, Positional",1
Center,3
King's Pawn Game,79
King's Pawn: Tortoise,1
Center Accepted,2
Center: Kieseritzky,1
Danish Gambit,1
Danish Gambit Declined: Sorensen,1
Bishop's,2
Vienna: Max Lange,1
Vienna: Falkbeer,1
KG,2
KGA,2
KGA: Fischer,1
KGA: Greco Gambit,1
KGA: King's Knight's Gambit,2
KGA: Schallopp,1
Elephant Gambit,2
Elephant Gambit: Paulsen Countergambit,1
Gunderam,1
King's Knight,71
Philidor,8
Philidor: Exchange,1
Philidor: Hanham,5
"Philidor: Hanham, Krause",1
"Philidor: Hanham, Schlechter",4
Philidor: Lion,1
Russian,7
Russian: Classical Attack,1
"Russian: Classical Attack, Mason",1
Russian: Cozio Attack,2
Russian: French Attack,1
Russian: Nimzowitsch Attack,1
Russian: Three Knights,2
Russian: Modern Attack,1
"Russian: Modern Attack, Center",1
"Russian: Modern Attack, Symmetrical",1
King's Knight: Normal,54
Ponziani,4
Ponziani: Jaenisch Counterattack,1
Ponziani: Ponziani Countergambit,1
Ponziani: Steinitz,1
Scotch,7
Scotch: Cochrane-Shumov,1
Scotch: Haxo Gambit,1
Scotch: Scotch Gambit,2
"Scotch: Scotch Gambit, Advance",1
"Scotch: Scotch Gambit, Dubois Réti",2
"Scotch: Scotch Gambit, Sarratt",1
Scotch: Classical,1
Scotch: Mieses,2
Scotch: Potter,1
Scotch: Schmidt,4
Three Knights,5
Four Knights,5
Four Knights: Gunsberg,1
Four Knights: Italian,1
Four Knights: Scotch,1
Four Knights: Scotch Accepted,1
Four Knights: Spanish,2
Four Knights: Double Spanish,1
Giuoco Piano,8
Italian,18
Italian: Giuoco Pianissimo,1
"Italian: Giuoco Pianissimo, Italian Four Knights",1
"Italian: Giuoco Pianissimo, Normal",3
Italian: Evans Gambit,3
Italian: Evans Gambit Declined,3
Italian: Bird's Attack,1
Italian: Classical,2
"Italian: Classical, Center Attack",1
"Italian: Classical, Giuoco Pianissimo",1
"Italian: Classical, Greco Gambit, Traditional Line",1
Italian: Two Knights,10
"Italian: Two Knights, Modern Bishop's",6
"Italian: Two Knights, Open",1
"Italian: Two Knights, Perreux",1
"Italian: Two Knights, Fritz",1
"Italian: Two Knights, Knight Attack",3
"Italian: Two Knights, Knight Attack, Normal",3
"Italian: Two Knights, Polerio",2
"Italian: Two Knights, Polerio, Bishop Check Line",2
RL,21
RL: Cozio,2
RL: Schliemann,3
"RL: Schliemann, Classical",1
"RL: Schliemann, Dyckhoff",2
"RL: Schliemann, Tartakower",1
RL: Berlin,8
"RL: Berlin, Rio Gambit Accepted",4
"RL: Berlin, Rosenthal",2
"RL: Berlin, l'Hermet",1
"RL: Berlin, l'Hermet, Berlin Wall",1
RL: Exchange,2
"RL: Exchange, Alapin Gambit",1
"RL: Exchange, King's Bishop",1
"RL: Exchange, Normal",2
RL: Morphy,8
"RL: Morphy, Anderssen",1
"RL: Morphy, Arkhangelsk",1
"RL: Morphy, Neo-Arkhangelsk",1
RL: Open,1
"RL: Open, Main Line",1
"RL: Open, Howell Attack",1
RL: Closed,4
"RL: Closed, Closed",3
"RL: Closed, Flohr System",1
"RL: Closed, Smyslov-Breyer-Zaitsev Hybrid",1
"RL: Closed, Chigorin",1
Closed,117
Queen's Pawn: Levitsky Attack,1
Queen's Pawn: Mason,9
Queen's Pawn: Steinitz Countergambit,2
"Queen's Pawn: Veresov Attack, Richter",1
Rapport-Jobava System,9
Richter-Veresov Attack,2
Queen's Pawn: Krause,1
Queen's Pawn: London System,10
Queen's Pawn: Symmetrical,33
"Queen's Pawn: Symmetrical, Pseudo-Catalan",6
Queen's Pawn: Zukertort,35
Queen's Pawn: Torre Attack,1
"Queen's Pawn: Torre Attack, Gossip",1
Queen's Pawn: Colle System,4
"Queen's Pawn: Colle System, Traditional Colle",1
QG,69
QGD: Marshall,2
QGD: Chigorin,1
"QGD: Chigorin, Exchange",1
"QGD: Chigorin, Exchange, Costa's Line",1
Slav,31
Slav: Exchange,3
Slav: Modern Line,25
Slav: Quiet,5
"Slav: Quiet, Schallopp",1
"Slav: Exchange, Symmetrical Line",1
Slav: Alekhine,1
Slav: Chameleon,6
"Slav: Chameleon, Advance System",1
Slav: Three Knights,22
Slav: Two Knights Attack,6
Slav: Alapin,3
Slav: Steiner,1
Slav: Czech,2
"Slav: Czech, Classical System",2
"Slav: Czech, Classical System, Main Line",1
"Slav: Czech, Dutch",1
QGA,21
"QGA: Central, Alekhine System",2
QGA: Old,3
QGA: Saduleto,2
QGA: Normal,13
QGA: Alekhine,1
"QGA: Alekhine, Haberditz",1
QGA: Showalter,2
QGA: Classical,4
"QGA: Classical, Normal Line",4
"QGA: Classical, Steinitz, Exchange",2
"QGA: Normal, Traditional System",4
"QGA: Classical, Main Line",3
"QGA: Classical, Rubinstein",1
QGA: Furman,1
QGD,31
QGD: Vienna,4
QGD: Janowski,2
QGD: Queen's Knight,18
"QGD: Semi-Slav, Abrahams",1
Semi-Slav: Accelerated Move Order,1
Semi-Slav: Noteboom,1
QGD: Tarrasch,1
Tarrasch,2
Tarrasch: Two Knights,1
QGD: Exchange,2
"QGD: Exchange, Positional",2
QGD: Harrwitz Attack,5
QGD: Normal,11
"QGD: Harrwitz Attack, Fianchetto",2
"QGD: Harrwitz Attack, Two Knights",1
"QGD: Harrwitz Attack, Two Knights, Blockade Line",1
QGD: Three Knights,24
"QGD: Vienna, Quiet",1
QGD: Ragozin,6
"QGD: Ragozin, Alekhine",1
QGD: Semi-Tarrasch,4
"QGD: Semi-Tarrasch, Exchange",2
Semi-Slav,16
Semi-Slav: Anti-Moscow Gambit,1
Semi-Slav Accepted,2
Semi-Slav: Botvinnik,1
"Semi-Slav: Botvinnik, Lilienthal",1
Semi-Slav: Accelerated Meran,1
Semi-Slav: Main Line,11
Semi-Slav: Normal,5
Semi-Slav: Stoltz,3
Semi-Slav: Meran,2
Semi-Slav: Semi-Meran,2
QGD: Modern,3
QGD: Cambridge Springs,1
"QGD: Cambridge Springs, Capablanca",1
QGD: Neo-Orthodox,1
"QGD: Orthodox, Main Line",1
"QGD: Orthodox, Bd3 Line",1
"QGD: Orthodox, Fianchetto",1
"QGD: Orthodox, Classical",1
Neo-Grünfeld: Classical,3
"Neo-Grünfeld: Classical, Original",9
Grünfeld,4
Grünfeld: Stockholm,1
Grünfeld: Exchange,2
"Grünfeld: Exchange, Modern Exchange",1
"Grünfeld: Exchange, Classical",1
"Grünfeld: Exchange, Spassky",1
Grünfeld: Three Knights,2
Catalan,15
Catalan: Closed,12
Catalan: Open,2
"Catalan: Closed, Main Line",1
Blumenfeld Countergambit,3
Indian: Anti-Nimzo-Indian,25
Tarrasch: Symmetrical,3
Bogo-Indian,7
Bogo-Indian: Grünfeld,4
"Nimzo-Indian: Three Knights, Duchamp",1
Queen's Indian: Kasparov,1
Queen's Indian: Kasparov-Petrosian,1
"Queen's Indian: Kasparov-Petrosian, Marco",1
Queen's Indian: Petrosian,1
Queen's Indian: Fianchetto,1
"Queen's Indian: Fianchetto, Nimzowitsch",1
"Queen's Indian: Fianchetto, Nimzowitsch, Nimzowitsch Attack",1
"Queen's Indian: Classical, Traditional",1
Nimzo-Indian,14
Nimzo-Indian: Kmoch,1
Nimzo-Indian: Three Knights,4
Nimzo-Indian: Spielmann,1
"Nimzo-Indian: Sämisch, Accelerated",2
Nimzo-Indian: Sämisch,2
Nimzo-Indian: Leningrad,1
Nimzo-Indian: Classical,3
Nimzo-Indian: Normal Line,4
Nimzo-Indian: Hübner,1
"Nimzo-Indian: Hübner, Rubinstein",1
"Nimzo-Indian: Hübner, Rubinstein, Main Line",1
Nimzo-Indian: Normal,3
"Nimzo-Indian: Normal, Bishop Attack",2
"Nimzo-Indian: Normal, Ragozin",2
"Nimzo-Indian: Normal, Gligoric System",1
